"Id","code","text"
"55","badspitz","Overall, the architectural and cytologic features are most consistent with a Spitz nevus with atypia. The clinical behavior of spitzoid lesions is notoriously difficult to predict however, particularly in adults, and there have been reports of lesions that histologically resemble Spitz nevi but behaved in an aggressive manner.  Therefore, some authors feel that there is no clear way to distinguish between atypical Spitz nevi and malignant melanoma (see reference below). Gerami P, Busam K. et al. Histomorphologic Assessment and Interobserver Diagnostic Reproducibility of Atypical Spitzoid Melanocytic Neoplasms With Long-term Follow-up. Am J Surg Pathol. 2014 Jul;38(7):934-40."
"56","bam","A MART-1 immunostain demonstrates a slight increase in junctional melanocytes without atypia, consistent with melanocytic hyperplasia of sun-damaged skin."
"60","bcc","basal cell carcinoma"
"61","bcci","basal cell carcinoma, infiltrative type"
"62","bccinfun","basal cell carcinoma, infundibulocystic type"
"63","bccm","Basal cell carcinoma, micronodular type"
"64","bccmi","basal cell carcinoma, micronodular and infiltrative types"
"65","bccn","basal cell carcinoma, nodular type"
"66","bccni","Basal cell carcinoma, nodular and infiltrative types"
"67","bccnm","Basal cell carcinoma, nodular and micronodular types"
"68","bccnmi","basal cell carcinoma, nodular, micronodular and infiltrative types"
"69","bccs","basal cell carcinoma, superficial type"
"70","bccscl","basal cell carcinoma, sclerosing type"
"71","bccsi","basal cell carcinoma, superficial and infiltrative types"
"72","bccsm","basal cell carcinoma, superficial and micronodular types"
"74","bccsmi","basal cell carcinoma, superficial, micronodular and infiltrative types"
"75","bccsn","Basal cell carcinoma, superficial and nodular types"
"76","bccsni","basal cell carcinoma, superficial, nodular and infiltrative types"
"77","bccsnm","basal cell carcinoma, superficial, nodular and micronodular types"
"78","bcrstudy","To further characterize the process, the specimen will be submitted for B-cell receptor gene rearrangement studies, and the findings will be reported in an addendum."
"79","bd","Bowen's disease"
"80","beh","benign epidermal hyperplasia"
"81","bfh","basaloid follicular hamartoma"
"82","bh","Brown and Hopps stain"
"83","grprog","A Gram stain for bacteria is in progress and the findings will be reported in an addendum."
"84","bignev","Despite the large size of this lesion, no significant cytologic atypia is appreciated."
"85","bk","benign keratosis"
"87","blm","The lesion extends to both peripheral margins of the specimen."
"88","blmb","The lesion extends to both peripheral margins and to the deep margin of the specimen."
"89","bloid","Basaloid features are also present, which may be associated with coexisting basal cell or basosquamous carcinoma."
"90","bmz","basement membrane zone"
"91","bn","blue nevus"
"94","bp","bullous pemphigoid"
"95","bpeba","Bullous pemphigoid and epidermolysis bullosa acquisita may have an indistinguishable direct immunofluorescence pattern. Clinical correlation is recommended. Indirect immunofluorescence using a salt split skin substrate may be helpful in distinguishing between these possibilities. "
"97","bsup","Because only the superficial aspect of the lesion is present for review, a more significant lesion cannot be excluded."
"98","bvl","Because very little dermis is available for examination"
"99","bvldp","Because very little dermis is available for examination, a dermal process cannot be excluded."
"100","bvldx","Because very little dermis is available for examination, a more significant lesion cannot be excluded."
"101","bvli","Because very little dermis is available for examination, invasion cannot be excluded."
"102","bvp","benign vascular proliferation"
"103","bx","biopsy"
"105","bxo","balanitis xerotica obliterans"
"106","ca","condyloma acuminatum"
"107","cae","chloroacetate esterase (Leder) stain"
"109","carney","Epithelioid blue nevi can be sporadic or may be seen in the setting of Carney complex."
"110","carp","confluent and reticulated papillomatosis of Gougerot and Carteaud."
"111","cca","Clinical correlation is advised to determine the adequacy of removal of this lesion."
"112","ccamm","Although the edges of the specimen are free of neoplasm, tumor is present within *** mm of the nearest edge. Clinical correlation is advised to determine the adequacy of removal of this lesion."
"113","ccca","central centrifugal cicatricial alopecia"
"114","ccr","Complete conservative re-excision is recommended."
"115","cd","cornified debris"
"116","cderm","contact dermatitis"
"117","cdnh","chondrodermatitis nodularis helicis"
"118","ce","completely excised."
"119","cea","carcinoembryonic antigen"
"120","ced","chronic eczematous dermatitis"
"121","cer","Complete excision is recommended"
"122","cfh","Certain variants of dermatofibroma (atypical dermatofibroma, cellular, aneurysmal, and deep) have an increased risk of local recurrence (approximately 25%), and have been described on rare occasion to behave in an aggressive fashion.  Reference: 1. Calonje E et al. Cellular benign fibrous histiocytoma.  Clinicopathologic analysis of 74 cases of a distinctive variant of cutaneous fibrous histiocytoma with frequent recurrence. Am J Surg Pathol 1994;18: 668-76. 2. Doyle L. and Fletcher C.D.M. Metastasizing “Benign” Cutaneous Fibrous Histiocytoma: A Clinicopathologic Analysis of 16 Cases. Am J Surg Pathol 2013;37;484-495."
"123","cgi","chronic and granulomatous inflammation"
"125","ch","capillary hemangioma"
"127","ci","chronic inflammation"
"128","cl","cornoid lamella"
"130","clin","Clinical correlation is suggested.  If there is significant concern about carcinoma, a deeper biopsy may be helpful."
"132","cll","chronic lymphocytic leukemia"
"133","cn","compound nevus"
"135","cnmild","compound nevus with architectural disorder and mild cytologic atypia (dysplastic nevus)"
"136","cnmildmod","compound nevus with architectural disorder and mild to moderate cytologic atypia (dysplastic nevus)"
"137","cnmod","compound nevus with architectural disorder and moderate cytologic atypia (dysplastic nevus)"
"138","cnmodsev","compound nevus with architectural disorder and moderate to severe cytologic atypia (dysplastic nevus)"
"139","cnn","compound nevus, neurotized"
"140","cnsev","compound nevus with architectural disorder and severe cytologic atypia (dysplastic nevus)"
"142","com","Comment:"
"143","compl","Complete removal is recommended for diagnostic and therapeutic purposes."
"145","confe","The nevus infiltrates in between collagen bundles, and around blood vessels and adnexal structures."
"146","cong","The congenital features may explain the clinical atypia."
"147","cerca","A conservative excision is recommended to prevent recurrence if clinically appropriate."
"151","cowden","Trichilemmomas may occur as isolated, incidental lesions or in the setting of Cowden's syndrome.  Clinical correlation is recommended."
"153","cp","cicatricial pemphigoid"
"154","cpc","Clinicopathologic correlation is recommended."
"156","cr","congo red stain"
"179","crr","Complete removal is recommended."
"189","csa","Controls stain appropriately."
"190","csd","chronic spongiotic dermatitis"
"191","csn","Client services is notified to report results to client."
"192","ctcl","cutaneous T-cell lymphoma"
"193","ctclrebx","Diagnostic features of a lymphoproliferative disorder are not appreciated. Since very early stages of CTCL can mimic spongiotic dermatitis histologically, however, if clinical suspicion for a cutaneous lymphoproliferative disorder persists, additional sampling over time is recommended to assess lesion evolution, particularly if clinical progression occurs despite conservative therapeutic measures."
"194","ctd","connective tissue disease"
"195","cultneg","Culture results reported as: No fungal growth at 4 weeks. Please see attached report."
"196","culttr","Culture results reported as: Trichophyton rubrum. Please see attached report."
"197","cv","crystal violet stain"
"198","cvh","capillary-venous hemangioma"
"199","cw","consistent with"
"200","cwab","consistent with the above diagnosis."
"201","cyto","amphophilic cytoplasm"
"203","darkad","Despite dark pigmentation and mild architectural disorder, no significant cytologic atypia is appreciated."
"204","darkpig","Despite dark pigmentation, no significant cytologic atypia is appreciated."
"206","ddx","differential diagnosis"
"207","ddxi","The differential diagnosis includes ***"
"208","de","drug eruption"
"209","dej","dermoepidermal junction"
"210","denovo","This proliferation lacks the architecture of an atypical / dysplastic nevus, favoring 'de novo dysplasia'. Reference: Magro CM et al. De novo intraepidermal epithelioid melanocytic dysplasia: an emerging entity. J Cutan Pathol. 2010 Aug;37(8):866-9. "
"211","dermalmel","Despite abundant melanin within dermal nevus cells, no significant cytologic atypia is appreciated."
"214","df","dermatofibroma"
"215","dfsp","dermatofibrosarcoma protuberans"
"216","dh","dermatitis herpetiformis"
"217","dhr","dermal hypersensitivity reaction"
"218","dic","disseminated intravascular coagulation"
"219","dif","direct immunofluorescence"
"220","difhelp","Direct immunofluorescence may be helpful in further evaluation of this process."
"221","dle","discoid lupus erythematosus"
"222","dm","dermatomyositis"
"223","dmc","digital mucous cyst"
"224","dmnci","dermal mononuclear cell infiltrate"
"225","dnlm","The architectural and cytologic features favor an atypical/dysplastic nevus over lentigo maligna."
"226","dns","'Dysplastic nevus' is a term used by some to characterize these changes. A similar histological appearance may be observed in clinically atypical nevi that are either identified sporadically or in patients with the atypical (dysplastic) nevus syndrome. To establish the diagnosis of the atypical (dysplastic) nevus syndrome in this patient, clinical and pathological correlation will be necessary."
"227","dnsp","Unfortunately, this specimen did not survive processing."
"228","dp","Darkly pigmented"
"229","dpn","deep penetrating nevus"
"230","dpw","dilated pore of Winer"
"231","dsap","disseminated superficial actinic porokeratosis"
"232","dscp","dermal spindle cell proliferation"
"233","dte","desmoplastic trichoepithelioma"
"235","dx","diagnosis"
"236","dys","dysplastic"
"237","eac","erythema annulare centrifugum"
"238","eba","epidermolysis bullosa acquisita"
"240","ecm","erythema migrans"
"241","ecrc","erosion consistent with recent curettage."
"242","ecz","eczema"
"243","ed","eczematous dermatitis"
"244","edp","erythema dyschromicum perstans (ashy dermatosis)"
"245","edv","epidermodysplasia verruciformis"
"246","eed","erythema elevatum diutinum"
"248","eemis","Early, evolving malignant melanoma in situ cannot be completely ruled out."
"251","efh","epithelioid fibrous histiocytoma"
"252","ehk","epidermolytic hyperkeratosis"
"253","eic","epidermoid cyst"
"254","eicr","ruptured epidermoid cyst"
"255","el","eczematous lesion."
"256","em","erythema multiforme"
"257","ema","epithelial membrane antigen"
"258","emptybottle","The bottle was examined by the grossing technician and a member of our physician staff, and no specimen was identified.  It is possible that if the specimen were composed of cornified debris, coagulated blood or crust, the tissue may not have survived formalin fixation."
"259","en","erythema nodosum"
"261","eos","eosinophils"
"262","ery","erythematous"
"263","esf","The inked edges of the specimen are free of tumor in the examined sections."
"264","esi","The inked edges of the specimen are involved by tumor."
"265","et","elastic tissue stain"
"266","ette","extending to the tissue edge."
"267","evolve","Since atypical lymphoid infiltrates may evolve over time, further sampling is recommended if clinically appropriate."
"268","exneg","The examined margins are free."
"269","exrbcs","extravasated red blood cells"
"270","ext","suggestive of recent external trauma or excoriation."
"271","fad","The focal acantholytic dyskeratosis may be incidental, or could reflect transient acantholytic dermatosis (Grover's disease)."
"272","falsepositivelbt","The signficance of this finding should be determined in conjunction with the clinical presentation and the results of serologic tests.  False positive lupus band tests occur in the sun-exposed skin of normal adults with a frequency that increases with age."
"273","fbgcr","foreign body giant cell reaction"
"274","fbtr","foreign body type reaction"
"275","fcm","focal cutaneous mucinosis"
"276","fd","folliculitis decalvans"
"277","fde","fixed drug eruption"
"278","fep","fibroepithelial polyp."
"279","ffpe","formalin-fixed, paraffin-embedded tissue"
"280","finaldx","Final diagnosis will rest upon examination of the completely excised specimen."
"281","fm","Fontana-Masson stain"
"282","foc","features of congenital onset"
"283","follic","folliculitis"
"284","fp","fibrous papule"
"285","frag","Because of tissue fragmentation, invasion cannot be completely excluded."
"286","frof","Fragments of"
"287","fsch","folliculosebaceous cystic hamartoma"
"288","fu","follow-up"
"289","ga","granuloma annulare"
"290","gcdfp","gross cystic disease fluid protein"
"291","gci","granulomatous and chronic inflammation"
"292","gctts","giant cell tumor of tendon sheath"
"293","geneneg","No clonal population was detected by gene rearrangement studies.  Please see the attached report."
"294","genesent","This specimen has been sent out for gene rearrangement analysis.  The results will be reported as an addendum when they become available."
"295","gf","granuloma faciale"
"296","gianotti","Giannotti-Crosti syndrome (papulovesicular acrolocated syndrome)"
"297","gl","Genital lentigo (benign vulvar melanosis)."
"298","gms1","Gomori's methenamine silver"
"299","gmsneg","No fungi are detected with a Gomori's methenamine silver stain."
"300","gmspos","Although no fungi are detected with a periodic acid-Schiff stain, septate, branching hyphae are highlighted with a Gomori's methenamine silver stain."
"301","gpc","gram-positive cocci"
"303","gvhd","graft versus host disease"
"304","hak","hypertrophic actinic keratosis"
"305","hande","hematoxylin and eosin-stained"
"306","hem","hemangioma"
"307","hh","Hailey-Hailey disease"
"308","hi","Heavily inflamed"
"309","hiddx","histologic differential diagnosis"
"310","hidro","hidrocystoma"
"311","hidsup","hidradenitis suppurativa"
"312","hism","If a heightened index of suspicion for a malignancy should exist at this anatomic location, then additional sampling or complete removal of any residual lesion is advised."
"313","hk","hyperkeratosis"
"314","hlp","hypertrophic lichen planus"
"315","hnp","'halo nevus phenomenon'"
"325","hpvtype","Upon your request, we will submit tissue for in situ hybridization for low and high risk HPV typing."
"326","hsp","Henoch-Schonlein purpura"
"327","hspcomment","Although the presence of a predominance of IgA raises the possibility of Henoch-Schonlein purpura, it is not diagnostic of the latter.  Definitive diagnosis requires the correlation of these results with the findings on routine histology, the clinical history, physical examination and results of urine, blood and other appropriate laboratory and imaging tests."
"328","hsr","hypersensitivity reaction"
"329","hsv","herpes simplex virus"
"330","htd","I would be happy to discuss this case with you, if you would like, in order to arrive at a better clinicopathologic correlation."
"331","hwak","The lesion arises in association with a hypertrophic actinic keratosis."
"332","ic","intracorneal"
"333","ich","intracorneal hemorrhage"
"334","idn","intradermal nevus"
"335","idnn","intradermal nevus, neurotized"
"336","idonot","I do not see features of"
"337","ie","intraepidermal"
"339","ifep","Inflamed fibroepithelial polyp."
"340","ifk","inverted follicular keratosis"
"341","igh","idiopathic guttate hypomelanosis"
"342","ihc","Immunohistochemical stains were examined (with appropriate controls) and show ***"
"345","iif","indirect immunofluorescence"
"346","ile","initial or level sections."
"347","ilven","inflammatory linear verrucous epidermal nevus (ILVEN)"
"348","imle","Initial and multiple levels were examined."
"349","immuno","Immunohistochemical stains were performed with appropriate controls to further evaluate cell differentiation."
"350","impox_disclaimer","This test was developed and its performance characteristics determined by Miraca Life Sciences.  It has not been cleared or approved by the U.S. Food and Drug Administration.  However, the FDA has determined that such clearance or approval is not necessary.  This test is used for clinical purposes.  It should not be regarded as investigational or for research.  This laboratory is certified under the Clinical Laboratory Improvement Amendments of 1988 (CLIA-88) as qualified to perform high complexity clinical laboratory testing."
"351","int","interstitial"
"352","ipeh","intravascular papillary endothelial hyperplasia"
"353","ipx","Immunoperoxidase stains"
"354","ish","in situ hybridization"
"355","isk","irritated seborrheic keratosis"
"356","isl","ink spot lentigo"
"357","jn","junctional nevus"
"358","jnmild","junctional nevus with architectural disorder and mild cytologic atypia (dysplastic nevus)"
"359","jnmildmod","junctional nevus with architectural disorder and mild to moderate cytologic atypia (dysplastic nevus)"
"360","jnmod","junctional nevus with architectural disorder and moderate cytologic atypia (dysplastic nevus)"
"361","jnmodsev","junctional nevus with architectural disorder and moderate to severe cytologic atypia (dysplastic nevus)"
"362","jnsev","junctional nevus with architectural disorder and severe cytologic atypia (dysplastic nevus)"
"363","jxg","juvenile xanthogranuloma"
"364","ka","keratoacanthoma"
"365","kacomment","Many authors consider keratoacanthoma to represent a form of squamous cell carcinoma which involutes spontaneously in the vast majority of cases.  It is particularly difficult to distinguish between keratoacanthoma and well-differentiated squamous cell carcinoma when the tumor extends to the base of the specimen."
"366","kp","keratosis pilaris"
"367","ks","Kaposi sarcoma"
"368","labd","linear IgA bullous dermatosis"
"369","lak","lichenoid actinic keratosis"
"370","lake","Widely-dilated, thin-walled vessel consistent with a venous lake."
"371","lc","Langerhans cells"
"372","lca","leukocyte common antigen"
"373","lch","lobular capillary hemangioma"
"374","lcn","lentiginous compound nevus"
"375","lcnmild","lentiginous compound nevus with architectural disorder and mild cytologic atypia (dysplastic nevus)"
"376","lcnmildmod","lentiginous compound nevus with architectural disorder and mild to moderate cytologic atypia (dysplastic nevus)"
"377","lcnmod","lentiginous compound nevus with architectural disorder and moderate cytologic atypia (dysplastic nevus)"
"378","lcnmodsev","lentiginous compound nevus with architectural disorder and moderate to severe cytologic atypia (dysplastic nevus)"
"379","lcnsev","lentiginous compound nevus with architectural disorder and severe cytologic atypia (dysplastic nevus)"
"380","lcv","leukocytoclastic vasculitis"
"381","lde","lichenoid drug eruption"
"382","le","lupus erythematosus"
"383","liderm","lichenoid interface dermatitis"
"384","lilk","lichenoid interface dermatitis consistent with a lichenoid keratosis (lichen planus-like keratosis)."
"389","ljn","lentiginous junctional nevus"
"390","ljnmild","lentiginous junctional nevus with architectural disorder and mild cytologic atypia (dysplastic nevus)"
"391","ljnmildmod","lentiginous junctional nevus with architectural disorder and mild to moderate cytologic atypia (dysplastic nevus)"
"392","ljnmod","lentiginous junctional nevus with architectural disorder and moderate cytologic atypia (dysplastic nevus)"
"393","ljnmodsev","lentiginous junctional nevus with architectural disorder and moderate to severe cytologic atypia (dysplastic nevus)"
"394","ljnsev","lentiginous junctional nevus with architectural disorder and severe cytologic atypia (dysplastic nevus)"
"395","lk","lichenoid keratosis (lichen planus-like keratosis)"
"396","lm","lentigo maligna"
"397","lmdf","lupus miliaris disseminatus faciei"
"398","lmh","lentiginous melanocytic hyperplasia"
"399","ln","lichen nitidus"
"400","lp","lichen planus"
"401","lpp","lichen planopilaris"
"402","ls","lichen sclerosus"
"403","lsc","lichen simplex chronicus"
"404","lymphs","lymphocytes"
"405","lyp","lymphomatoid papulosis"
"406","mac","microcystic adnexal carcinoma"
"407","mad","multifocal acantholytic dyskeratosis"
"408","mademp","moderately atypical dermoepidermal melanocytic proliferation"
"409","maiemp","moderately atypical intraepidermal melanocytic proliferation"
"410","mal","Malassezia"
"411","mart","A MART-1 immunostain supports the above findings."
"412","martneg","A MART-1 immunostain (with appropriate controls) stains melanocytes and was used to highlight their distribution."
"413","martpos","A MART-1 immunostain (with appropriate controls) stains melanocytes with an increased number and abnormal distribution."
"416","mc","molluscum contagiosum"
"417","mcah","multinucleate cell angiohistiocytoma"
"418","mcc","Merkel cell carcinoma (primary neuroendocrine carcinoma)"
"420","mcw","most consistent with"
"421","md","Microscopic Description"
"422","meh","mild epidermal hyperplasia"
"423","melbasal","Despite abundant basal layer melanization and a lentiginous melanocytic hyperplasia, no significant cytologic atypia is appreciated."
"424","meth","Septate, branching hyphae are demonstrated with a Gomori's methenamine silver stain."
"425","mf","mycosis fungoides"
"426","mfh","malignant fibrous histiocytoma."
"427","mi","margins involved."
"428","ml","Mucosal lentigo (labial melanotic macule)."
"432","mmis","malignant melanoma in situ"
"435","mnc","mononuclear cell"
"436","mnci","mononuclear cell infiltrate"
"437","mncs","mononuclear cells"
"438","mohsneg","No residual tumor is identified at the peripheral margins of the specimen."
"441","msaiemp","moderately to severely atypical intraepidermal melanocytic proliferation"
"443","mso","most suggestive of"
"444","muirtorre","Sebaceous neoplasms may occur as isolated lesions or in the setting of Muir-Torre syndrome (considered a variant of Lynch syndrome/ hereditary non-polyposis colorectal cancer).  Clinical correlation is recommended.  If there is strong suspicion for Muir-Torre syndrome, additional stains for MSH-2, MLH-1, MSH-6 and PMS-2 can be performed at your request."
"448","nar","The examined margins are narrowly free."
"449","nat","No atypia or malignancy is identified."
"450","ne","narrowly excised."
"451","ned","No dysplasia or malignancy is identified."
"452","neo","A significant increase in dermal eosinophils is not appreciated."
"457","neuts","neutrophils"
"460","nf","neurofibroma"
"461","ng","None given."
"462","ngms","A GMS stain is negative for fungal organisms."
"463","ni","Not identified."
"464","nidn","The differential diagnosis includes a neurotized intradermal nevus."
"465","nl","necrobiosis lipoidica"
"466","nls","nevus lipomatosus superficialis"
"467","nma","No melanocytic atypia is identified."
"469","nmsk","nearly-macular seborrheic keratosis"
"470","nobac","No bacteria are detected with a Gram stain."
"471","nobcc","No basal cell carcinoma is identified."
"472","nobccmel","No basal cell carcinoma or melanocytic neoplasm is identified."
"474","nobile","There is no evidence of basal cell carcinoma in initial or level sections."
"475","nobpa","No bacteria or fungi are detected with gram or periodic acid-Schiff stains."
"477","nobpgfite","No bacteria, fungi or mycobacteria are identified on Gram, periodic acid-Schiff, Gomorri methenamine silver or Fite stains."
"478","nobs","No basal or squamous cell carcinoma is identified."
"479","nobugs","No bacteria, fungi or mycobacteria are detected with Gram, periodic acid-Schiff or acid fast stains."
"480","nocyst","No cyst or cyst remnants are identified."
"481","nofun","No fungi are detected with a periodic acid-Schiff stain."
"482","nofunbmz","No fungi or basement membrane zone thickening are identified on periodic acid-Schiff stain."
"483","nofunmuc","No fungi, basement membrane thickening or increase in interstitial mucin are demonstrated with periodic acid-Schiff or colloidal iron stains."
"485","nolymph","Diagnostic features of a lymphoproliferative disorder are not identified in this specimen."
"486","nomel","No melanocytic neoplasm is identified."
"487","nometh","No fungi are detected with a Gomori's methenamine silver stain."
"488","nomf","Because lymphocytic infiltrates may evolve over time, if lesions persist, or new lesions arise, additional sampling may be appropriate.  Clinical correlation and follow up are recommended."
"489","nomites","Although no mites are identified on initial or level sections, they are notoriously difficult to find on histologic sections.  Given the histologic findings, scabies remains a diagnostic consideration."
"490","nomucin","No significant increase in dermal mucin is identified with colloidal iron stain."
"491","noncon","Additional levels are non-contributory."
"492","nonspecificc3","Granular C3 is noted along the dermoepidermal junction.  This finding is common and nonspecific."
"493","nopfite","No fungi or mycobacteria are identified on periodic acid-Schiff or Fite stains."
"494","nopgfite","No fungi or mycobacteria are identified on periodic acid-Schiff, Gomorri methenamine silver or Fite stains."
"495","noscc","No squamous cell carcinoma is identified."
"496","nosile","No squamous cell carcinoma is identified in initial and level sections."
"497","nosk","Despite some architectural overlap with a seborrheic keratosis, the degree of squamous atypia and presence of mitoses at upper epidermal levels support the diagnosis of squamous cell carcinoma in situ."
"498","nosubq","No subcutaneous adipose tissue is present in this biopsy for evaluation."
"500","nr","No residual"
"501","nrad","No residual atypical/dysplastic nevus is identified."
"502","nranp","No residual atypical nevomelanocytic proliferation is identified."
"503","nrbcc","No residual basal cell carcinoma is identified."
"504","nrdn","No residual dysplastic nevus is identified."
"505","nrka","No residual keratoacanthoma is identified."
"506","nrlm","No residual lentigo maligna is identified."
"507","nrmm","No residual melanoma is identified."
"508","nrmmis","No residual melanoma in situ is identified."
"509","nrscc","No residual squamous cell carcinoma is identified."
"510","nrsccis","No residual squamous cell carcinoma in situ is identified."
"512","nrspitz","No residual spindle and epithelioid cell (Spitz) nevus is identified."
"513","nscaia","No significant cytologic atypia is appreciated."
"514","nse","neuron specific enolase"
"515","nsf","nephrogenic systemic fibrosis"
"516","nsla","No significant lymphoid atypia is appreciated."
"517","nsma","No significant melanocytic atypia is appreciated."
"518","nsoj","nevus sebaceus of Jadassohn"
"519","nss","No significant squamous atypia is appreciated."
"520","numd","nummular dermatitis"
"521","numm","nummular eczema"
"522","nxg","necrobiotic xanthogranuloma"
"523","ohk","orthohyperkeratosis"
"524","olm","The lesion extends to one peripheral margin of the specimen."
"525","olmb","The lesion extends to one peripheral margin and to the deep margin of the specimen."
"527","ork","Atypical keratinocytes extend down adnexal structures, and to all margins of the specimen. These lesions may have an increased tendency to recur."
"528","pak","pigmented actinic keratosis"
"529","pals","papulovesicular acrolocated syndrome (Gianotti-crosti syndrome)"
"530","pan1","polyarteritis nodosa"
"531","pas1","periodic acid-Schiff stain"
"534","pasprog","Periodic acid-Schiff stain is in progress to exclude dermatophyte infection and the results will be reported as an addendum."
"535","pbp","the prebullous phase of an immunobullous disorder"
"536","pc","pilar (trichilemmal) cyst"
"537","pct","porphyria cutanea tarda"
"538","pctcomment","Porphyria and pseudoporphyria have identical histologic and direct immunofluorescence findings.  These entities are best distinguished from one another by clinical history and the results of porphyrin tests."
"539","pd","Psoriasiform dermatitis"
"540","pde","papillary dermal edema"
"541","pdf","poorly-differentiated"
"542","peh","papillary epidermal hyperplasia"
"543","pem","pigmented epithelioid melanocytoma"
"544","pemcomment","Pigmented epithelioid melanocytoma has been proposed as a name to describe heavily pigmented, predominantly dermal lesions that tend to have epithelioid cells centrally and spindled cells at the periphery.  The authors view these lesions as low grade melanocytic tumors with some metastatic potential.  In the first study referenced below,  11 of 41 cases had regional lymph node metastases; however, none died of disease. References: Zembowicz A, Carney JA, Mihm MC. Pigmented epithelioid melanocytoma: a low-grade melanocytic tumor with metastatic potential indistinguishable from animal-type melanoma and epithelioid blue nevus. Am J Surg Pathol. 2004 Jan;28(1):31-40. Mandal RV, Murali R, et al. Pigmented epithelioid melanocytoma: favorable outcome after 5-year follow-up. Am J Surg Pathol. 2009 Dec;33(12):1778-82."
"545","pen","palisaded encapsulated neuroma"
"546","pf","perifollicular"
"547","pg","pyogenic granuloma"
"548","pgd","palisading granulomatous dermatitis"
"549","pigi","pigment incontinence"
"550","pigpar","The presence of pigmented parakeratosis and mild intraepidermal involvement are suggestive of previous trauma or excoriation, and may partly explain the appearance of atypia."
"551","pih","post-inflammatory hyperpigmentation"
"552","pihypo","post-inflammatory hypopigmentation"
"553","pilo","pilomatrixoma"
"554","pinkus","fibroepithelioma of Pinkus"
"555","pipa","post-inflammatory pigment alteration"
"556","pity","pityrosporum"
"557","pk","parakeratosis"
"558","plc","pityriasis lichenoides chronica"
